cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
BE,8,8,5,3,6,6,0,0,8,10
BE,8,9,6,5,8,8,5,5,6,5
BE,3,5,4,0,0,5,0,0,7,10
BE,7,6,6,5,7,8,6,6,8,7
BE,2,5,5,3,4,6,3,2,6,10
BE,7,8,6,5,5,7,5,5,8,10
BE,5,5,3,0,0,3,3,4,7,10
BE,2,2,5,4,5,7,5,5,8,9
BE,3,4,6,6,7,8,4,5,8,9
BE,9,9,8,8,8,5,4,5,8,10
BE,5,5,3,3,6,6,2,1,7,6
BE,8,7,7,2,2,4,1,2,5,8
BE,6,4,6,7,6,7,5,5,6,8
BE,5,9,8,2,2,3,3,4,8,7
BE,7,8,5,5,3,5,4,3,8,10
BE,9,9,8,7,7,7,6,6,8,10
BE,4,5,6,1,3,3,5,5,7,4
BE,8,7,3,3,7,7,3,0,6,10
BE,3,5,4,7,8,8,3,3,9,10
BE,5,6,3,3,4,5,4,4,6,9
BE,7,8,5,6,6,5,5,5,7,8
BE,3,4,4,3,6,7,3,3,8,7
BE,5,7,3,5,0,5,5,5,10,5
BE,5,4,6,5,6,5,5,4,7,8
BE,6,9,5,10,10,10,8,9,7,10
BE,7,7,7,6,6,7,7,7,9,10
BE,4,3,4,3,5,6,1,2,5,10
BE,1,3,6,1,3,2,1,1,2,5
BE,3,2,4,4,5,4,3,3,5,5
BE,6,5,6,8,9,10,7,7,9,10
BE,8,8,6,7,8,7,6,6,9,10
BE,7,8,8,7,8,8,6,5,9,10
BE,6,7,4,6,7,8,4,4,8,9
BE,7,7,8,5,6,6,4,6,6,8
BE,8,6,4,6,7,8,5,6,8,10
BE,6,8,5,2,5,6,2,2,4,8
BE,7,7,7,7,8,7,6,7,9,10
BE,7,6,3,8,7,8,7,6,9,10
BE,1,4,6,6,10,9,9,9,9,10
BE,7,7,6,7,7,8,7,6,6,10
BE,9,8,10,5,5,7,5,5,7,5
BE,3,7,6,3,5,7,6,6,7,6
BE,7,6,4,5,6,8,3,3,8,9
BE,6,6,8,4,8,6,2,2,7,8
BE,5,5,2,5,5,7,4,4,8,10
BE,3,3,1,5,3,2,1,1,3,8
BE,3,1,1,3,0,3,2,2,8,9
BE,7,7,6,5,5,6,6,6,8,8
BE,5,5,5,4,4,4,2,2,8,6
BE,6,7,6,4,7,8,5,0,5,8
BE,7,3,5,7,8,8,6,6,7,8
BE,4,2,3,7,7,7,5,5,2,10
BE,3,6,3,2,0,3,0,2,0,10
BE,4,1,4,5,5,5,5,3,5,6
